Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"2.2uF25v","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
C8 C10 C11 C13 ,4,"100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
C14 C16 ,2,"1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
C3 C4 ,2,"22pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
C5 C6 ,2,"47uF 16v","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
C7 C12 ,2,"1uF 25v","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
C9 ,1,"10uF 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
CN1 ,1,"DIP40 MB CONN","Package_DIP:DIP-40_W15.24mm",""
D2 ,1,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
IC1 ,1,"YM2413","Package_DIP:DIP-18_W7.62mm",""
IC2 IC6 ,2,"74LS30D","Package_DIP:DIP-14_W7.62mm",""
IC3 ,1,"74LS04D","Package_DIP:DIP-14_W7.62mm",""
IC4 ,1,"LM4558N","Package_DIP:DIP-8_W7.62mm",""
IC5 ,1,"Z80","Package_DIP:DIP-40_W15.24mm",""
IC7 ,1,"74LS02D","Package_DIP:DIP-14_W7.62mm",""
IC8 ,1,"74LS74D","Package_DIP:DIP-14_W7.62mm",""
IC9 ,1,"74LS125D","Package_DIP:DIP-14_W7.62mm",""
JP1 ,1,"Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
LED1 ,1,"LED 3mm","LED_THT:LED_D3.0mm","~"
R11 ,1,"68","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R12 R13 ,2,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R14 ,1,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R15 ,1,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R16 ,1,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R1 R2 R9 R10 ,4,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R3 ,1,"170k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
R4 R5 R6 R7 R8 ,5,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
SJ3 ,1,"SJ","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
U2 ,1,"SOCKET DIP","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf"
U48 ,1,"MCP6182","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf"
VREG1 ,1,"78L","Package_TO_SOT_THT:TO-92L_Wide",""
